source,target
1,2
1,1
1,0
1,21
1,3
1,38
1,50
1,367
1,168
1,16
1,589
1,135
1,138
1,99
1,302
1,377
1,1141
1,374
1,361
1,90
1,47
1,27
1,3224
1,3365
1,3405
1,298
1,2160
1,1596
1,1106
1,285
1,1902
1,4183
1,1575
1,1262
1,5175
1,817
1,3227
1,85
1,6194
1,634
1,83
1,6594
1,224
1,1058
1,574
1,76
1,558
1,4594
1,7933
1,1336
1,8261
1,1629
1,283
1,592
1,8827
1,6697
1,8277
1,9629
1,221
1,1273
1,292
1,3565
1,97
1,1144
1,64
1,1941
1,315
1,218
1,2285
1,2072
1,317
1,149
1,206
1,1098
1,9417
1,7126
1,947
1,3822
1,294
1,726
1,9210
1,6320
1,5403
1,6873
1,492
1,1535
1,1899
1,7633
1,1584
1,8130
1,235
1,117
1,276
1,7341
1,1012
1,7879
1,7733
1,7683
1,1954
1,142
1,326
1,682
1,1057
1,1258
1,711
1,6630
1,422
1,2318
1,360
1,1649
1,753
1,91
1,5546
1,6330
1,67
1,787
1,5277
1,8490
1,4703
1,6469
1,2338
1,2356
1,7037
1,2516
1,7149
1,1142
1,8214
1,4738
1,9130
1,4126
1,2574
1,1775
1,3376
1,600
1,8676
2,3
2,2
2,1
2,0
2,222
2,50
2,151
2,16
2,285
2,27
2,717
2,374
2,966
2,889
2,83
2,1326
2,135
2,320
2,1850
2,2142
2,2364
2,566
2,97
2,377
2,99
2,855
2,3381
2,90
2,85
2,302
2,634
2,5417
2,3063
2,4943
2,1065
2,6995
2,67
2,361
2,7903
2,138
2,5751
2,6713
2,727
2,206
2,527
2,294
2,3307
2,1867
2,3113
2,481
2,1503
2,132
2,711
2,1543
2,1702
2,8617
2,2762
2,1811
2,4383
2,3833
2,1542
2,7775
2,3684
2,305
2,8178
2,367
2,8804
2,1199
2,283
2,9274
2,4216
2,3015
2,292
2,9417
2,1680
2,492
2,1374
2,669
2,278
2,937
2,644
2,1200
2,973
2,1386
2,1387
2,91
2,912
2,4287
2,159
2,5137
2,1269
2,5331
2,6972
2,4291
2,3922
2,1865
2,39
2,2497
2,47
2,3778
2,2024
2,9968
2,2475
2,947
2,221
2,4652
2,3406
2,298
2,422
2,5607
2,8069
2,494
2,3601
2,893
2,5153
2,9575
2,235
3,1
3,0
3,3
3,2
3,1273
3,99
3,285
3,135
