source,target
1,2
1,3
1,1
1,6
1,18
1,21
1,24
1,73
1,55
1,140
1,274
1,37
1,232
1,423
1,26
1,511
1,39
1,12
1,68
1,36
1,906
1,1217
1,883
1,224
1,898
1,22
1,310
1,943
1,132
1,176
1,1869
1,1881
1,2012
1,188
1,1273
1,387
1,112
1,2536
1,71
1,508
1,17
1,2961
1,3037
1,3102
1,3273
1,295
1,966
1,53
1,1010
1,370
1,4746
1,4756
1,2408
1,1564
1,4869
1,696
1,615
1,300
1,2592
1,471
1,6368
1,6423
1,6522
1,719
1,345
1,802
1,7431
1,7527
1,1011
1,4289
1,281
1,610
1,202
1,8370
1,6305
1,361
1,8940
1,1743
1,1519
1,1526
1,9899
2,3
2,2
2,1
2,37
2,193
2,39
2,266
2,55
2,419
2,379
2,36
2,53
2,26
2,1011
2,198
2,248
2,176
2,1327
2,112
2,71
2,1452
2,21
2,68
2,966
2,1947
2,146
2,145
2,95
2,106
2,6
2,1519
2,2651
2,465
2,155
2,12
2,3461
2,2640
2,2994
2,803
2,251
2,621
2,1702
2,281
2,3964
2,188
2,1640
2,2309
2,407
2,847
2,30
2,3804
2,720
2,61
2,3183
2,3403
2,423
2,474
2,2668
2,788
2,3491
2,883
2,618
2,4451
2,7944
2,471
2,2429
2,1641
2,3879
2,318
2,4
2,1081
2,1591
2,314
2,9108
2,9125
2,345
2,9280
2,186
2,232
2,3474
2,506
2,1199
3,1
3,26
3,2
3,12
3,3
3,232
3,55
3,37
3,1770
3,1900
3,21
3,2440
3,25
3,71
3,6
3,345
3,4168
3,1792
3,5464
3,198
3,36
0,3
4,2
6,1
6,1358
6,1641
6,2
6,3
6,21
6,37
6,71
6,5720
6,26
6,6
6,7342
7,2
7,25
7,329
7,1741
7,1971
7,4907
8,3
8,1
11,3
12,2
12,115
12,1
12,3597
12,4735
13,2
15,2
15,1104
15,8509
17,2
17,146
17,221
17,9149
19,2
21,2
21,1
21,318
21,21
21,37
21,1938
21,3
21,6
21,26
21,155
21,251
21,53
21,71
21,696
21,4340
21,39
21,618
21,310
21,560
21,36
21,1400
21,8756
21,9389
21,9492
22,1
26,2
26,39
26,1
26,21
26,4027
26,4081
26,188
26,3
26,5263
26,364
26,6
26,8143
27,18
27,295
28,6
28,47
28,3
29,2
29,1137
29,2800
29,6679
30,3
30,500
30,579
33,3
36,21
36,435
36,2
36,811
36,1
36,859
36,3
36,5499
36,5662
37,1
37,96
37,180
37,186
37,675
37,691
37,2
37,71
37,3
37,4252
38,2
39,2
39,3
39,26
39,1
40,1
40,316
41,26
42,3
42,568
42,1780
44,6
46,26
47,318
48,39
49,3
53,1
53,2091
53,3203
53,3590
54,1
55,24
55,1
55,131
55,243
55,36
55,1311
55,2
55,3
55,21
55,618
56,21
58,2
58,273
59,3
60,47
61,2
61,3
61,2133
62,1
62,2248
64,2
64,756
65,2
68,21
68,149
68,2969
68,2
71,2
71,72
71,145
71,1631
71,232
71,1
71,3
71,4447
73,1
74,1
77,3
77,7921
80,26
81,21
84,18
86,26
86,8444
87,3
87,1
87,1224
87,3090
87,4606
87,8084
89,2
92,21
92,1913
92,3465
92,3816
94,2
95,3
95,2
99,6
99,55
103,21
104,1
105,25
105,1040
106,2
106,1611
106,1
111,3
112,21
112,2
114,1
117,26
117,1222
118,1
131,188
131,2
131,3
132,2
133,21
134,6
136,3
137,21
138,2
138,2467
139,2
139,177
139,557
140,21
141,1
143,24
143,208
143,2
146,455
148,1
148,297
