source,target
1,2
1,3
1,8
1,49
1,45
1,67
1,242
1,23
1,78
1,118
1,97
1,81
1,125
1,595
1,149
1,275
1,1016
1,106
1,116
1,909
1,296
1,91
1,70
1,1735
1,2084
1,1429
1,441
1,2521
1,1963
1,2770
1,117
1,124
1,3403
1,196
1,3563
1,2386
1,2729
1,2033
1,3117
1,203
1,146
1,1017
2,3
2,8
2,1
2,78
2,67
2,117
2,49
2,45
2,167
2,125
2,198
2,23
2,91
2,81
2,275
2,70
2,146
2,554
2,283
2,390
2,525
2,441
2,197
2,118
2,940
2,979
2,242
2,1003
2,1202
2,595
2,1274
2,124
2,692
2,479
2,97
2,116
2,506
2,719
2,2078
2,592
2,1016
2,2033
2,2386
2,1059
2,196
2,1605
2,824
2,149
2,3038
2,296
2,2066
2,409
2,3846
2,483
2,580
2,1109
2,4728
2,3706
2,3728
3,1
3,2
3,8
3,67
3,78
3,23
3,49
3,45
3,362
3,453
3,124
3,618
3,146
3,81
3,692
3,658
3,125
3,719
3,1198
3,483
3,97
3,595
3,91
3,1204
3,296
3,70
3,283
3,242
3,507
3,239
3,196
3,2114
3,580
3,442
3,116
3,3039
3,118
3,710
3,117
3,149
3,510
3,275
3,4927
8,3
8,2
8,1
8,23
8,49
8,45
8,70
8,67
8,116
8,125
8,128
8,275
8,81
8,546
8,552
8,91
8,572
8,240
8,639
8,242
8,656
8,197
8,728
8,745
8,78
8,362
8,296
8,1010
8,483
8,97
8,1109
8,1202
8,1240
8,595
8,617
8,198
8,719
8,239
8,648
8,896
8,590
8,118
8,124
8,146
8,117
8,2155
8,658
8,539
8,149
8,873
8,1945
8,943
8,361
8,283
8,2234
8,1894
8,3583
8,3809
8,525
8,106
8,510
8,196
8,4232
8,1124
8,4561
8,1016
8,3113
8,1204
8,1254
8,3415
8,668
23,2
23,8
23,3
23,203
23,1
23,70
23,106
23,406
23,408
23,283
23,81
23,45
23,512
23,49
23,197
23,579
23,67
23,441
23,118
23,592
23,824
23,590
23,710
23,97
23,982
23,91
23,1133
23,240
23,242
23,595
23,125
23,728
23,296
23,78
23,214
23,525
23,275
23,196
23,117
23,1989
23,146
23,1192
23,2238
23,239
23,1605
23,149
23,1559
23,1254
23,2770
23,506
23,116
23,3490
23,510
23,3542
23,1124
23,2084
23,2215
23,719
23,327
23,4756
23,390
23,802
23,786
23,4789
45,2
45,49
45,1
45,8
45,116
45,3
45,244
45,97
45,91
45,149
45,296
45,81
45,23
45,510
45,70
45,824
45,67
45,1125
45,361
45,146
45,525
45,78
45,692
45,1876
45,242
45,196
45,2526
45,125
45,441
45,275
45,240
45,4028
45,106
45,3039
45,572
45,2674
45,4551
45,940
45,2767
45,4691
45,124
49,2
49,8
49,3
49,45
49,78
49,1
49,67
49,81
49,442
49,97
49,146
49,70
49,203
49,23
49,698
49,595
49,824
49,242
49,275
49,118
49,664
49,196
49,483
49,91
49,921
49,124
49,149
49,1125
49,116
49,1909
49,125
49,2494
49,1071
49,132
49,842
49,525
49,296
49,506
49,1532
49,3415
49,692
49,1994
49,4127
49,554
49,4381
49,580
49,2466
49,990
49,2062
49,4538
49,623
49,4672
49,1016
67,1
67,81
67,8
67,2
67,124
67,3
67,146
67,78
67,45
67,49
67,23
67,296
67,483
67,117
67,125
67,70
67,650
67,116
67,719
67,275
67,1127
67,91
67,1684
67,1454
67,2126
67,132
67,242
67,692
67,97
67,623
67,3360
67,3407
67,227
67,196
67,3893
67,1204
67,1605
67,283
