source,target
1,2
1,3
1,4
1,10
1,20
1,22
1,24
1,30
1,36
1,44
1,62
1,66
1,78
1,124
1,140
1,157
1,170
1,181
1,191
1,195
1,204
1,205
1,223
1,231
1,234
1,313
1,321
1,331
1,389
1,453
1,471
1,512
1,574
1,585
1,613
1,675
1,828
1,835
1,888
1,903
1,960
1,1068
1,1217
1,1294
1,1423
1,1468
1,1479
1,1565
1,1736
1,1866
1,1979
1,1991
1,2023
1,2148
1,2231
1,2291
1,2339
1,2381
1,2383
1,2484
1,2590
1,2879
1,3124
1,3164
1,3242
1,3603
1,4387
1,4726
1,4797
1,5113
1,5213
1,5264
1,5328
1,5397
1,5522
1,5687
1,5891
1,5927
1,6078
1,6128
1,6592
1,6874
1,7231
1,7328
1,7737
1,7847
1,7954
1,8218
1,8395
1,8468
1,8494
1,8588
1,9008
1,9260
1,9649
1,9966
1,9992
1,10243
1,10427
1,10519
1,11240
1,11270
1,11863
1,12115
1,12763
1,12895
1,13049
1,13132
1,13798
1,13829
1,14198
1,14505
2,3
2,5
2,6
2,8
2,19
2,21
2,22
2,30
2,37
2,41
2,53
2,54
2,73
2,96
2,118
2,156
2,197
2,207
2,225
2,238
2,253
2,269
2,309
2,331
2,415
2,427
2,429
2,458
2,461
2,466
2,472
2,476
2,506
2,510
2,542
2,599
2,614
2,626
2,682
2,685
2,894
2,974
2,976
2,981
2,1044
2,1073
2,1159
2,1183
2,1260
2,1350
2,1411
2,1500
2,1569
2,1836
2,2252
2,2290
2,2332
2,2354
2,2365
2,2451
2,2557
2,2700
2,2881
2,2895
2,2942
2,3636
2,3650
2,3905
2,4025
2,4934
2,4996
2,5213
2,5300
2,5712
2,5809
2,5909
2,5946
2,5964
2,5992
2,6110
2,6153
2,6465
2,6654
2,6879
2,7014
2,7058
2,7198
2,7208
2,7400
2,7602
2,7627
2,7701
2,8000
2,8012
2,8139
2,8269
2,8314
2,8384
2,8474
2,8496
2,8545
2,8572
2,9090
2,9694
2,9941
2,10537
2,10628
2,10640
2,10716
2,10717
2,11482
2,11529
2,12378
2,12940
2,12957
2,13089
2,13630
2,14195
2,14291
2,14489
3,4
3,5
3,6
3,7
3,8
3,11
3,16
3,17
3,18
3,19
3,24
3,25
3,26
3,32
3,39
3,56
3,65
3,73
3,74
3,85
3,89
3,102
3,117
3,128
3,140
3,178
3,180
3,212
3,224
3,267
3,281
3,304
3,314
3,332
3,341
3,367
3,401
3,405
3,434
3,464
3,493
3,550
3,592
3,594
3,605
3,638
3,756
3,778
3,798
3,870
3,887
3,977
3,1029
3,1066
3,1089
3,1094
3,1120
3,1233
3,1334
3,1406
3,1545
3,1568
3,1585
3,1683
3,1690
3,1782
3,1829
3,1846
3,1872
3,1929
3,2142
3,2210
3,2361
3,2458
3,2545
3,2681
3,3034
3,3464
3,3585
3,4280
3,4344
3,4558
3,4877
3,4885
3,4959
3,5021
3,5027
3,5064
3,5134
3,5247
3,5249
3,5369
3,5555
3,5994
3,5998
3,6032
3,6036
3,6076
3,6330
3,6698
3,6984
3,7300
3,7359
3,7587
3,7787
3,8216
3,8258
3,8281
3,8344
3,8713
3,9104
3,9499
3,9507
3,9617
3,9905
3,9984
3,10047
3,10269
3,10450
3,10481
3,10566
3,10619
3,10879
3,11229
3,11366
3,11387
3,11647
3,11800
3,12134
3,12416
3,12808
3,12971
3,12996
3,13024
3,13428
3,13887
3,14450
3,14586
3,14615
4,5
4,6
4,7
4,8
4,9
4,11
